N,Page,Channel ID,Name,Author,Description,percentage,Tags
1077,72,912225,AIRQO-70 UNIT ACTIVE,airqodata02,AirQo unit with dual pms5003 sensors Kyengera,50,
1078,72,3119059,Dados,mwa0000039239706,Dados da captura do acelerometro,50,
1079,72,3254088,WEATHER STATION,mwa0000022770631,"DUDHKUNDI S.C. HIGH SCHOOL (H.S.)
Generated by BIPLAB MAHATA",50,
1080,72,3084182,Germinador Inteligente,mwa0000038851566,"Monitor sensores de temperatura, humedad y estados del germinador",50,
1081,73,2024221,stazione meteo,mwa0000029074606,Stazione meteo,50,
1082,73,3254058,Micro.Bit,mwa0000040390223,Test microbit,50,
1083,73,3254024,ESP8266-DHT11 PROJET...,mwa0000040389718,ESP8266-DHT11 PROJET METEO ET DHT11,50,
1084,73,3254014,IOT-Distance,mwa0000040389006,i am checking it with the experiment also this project is about to measure the distance by using the ultra sonic sensors and oled display and esp32 dev kit with is wroon 32u pins,50,
1085,73,3250289,Smart Reminder Minum...,mwa0000039663907,Monitoring status alarm dan kepatuhan minum obat berbasis IoT menggunakan ESP32.,50,
1086,73,3184319,AHT10,mwa0000039756418,Logger for AHT10 sensor,50,
1087,73,3250700,SimBEEoza,mwa0000040363538,ESP32 senzor,50,
1088,73,3217615,heartmonitor,mwa0000040030212,heart rate  monitor system,50,
1089,73,3250753,HyRISE,mwa0000040364861,,50,"hydroponics,total dissolved solids,ph level,temperature"
1090,73,3253932,iot based agricultur...,mwa0000020125280,This project measures the soil moisture and sends it to the cloud,50,
1091,73,288583,MPPT status,fucik001,MPPT status,50,
1092,73,88640,ROOM TEMP,roberto2,TEST,50,
1093,73,3253929,IoT Based Food Spoil...,mwa0000040387755,"This ThingSpeak channel is implemented as part of an IoT-based food spoilage detection system to monitor food quality in real time. The channel consists of seven fields, where four fields display live sensor parameters—gas concentration, temperature, humi",50,
1094,73,3253907,Environment,mwa0000040387558,Iot based project to check for environmental data,50,
1095,73,3253913,Soil Moisture Level ...,mwa0000039009468,This channel consists of data regarding soil moisture in terms of voltage and equivalent percentage,50,
1096,74,3214894,Solar powered effici...,mwa0000040010822,AurdinoUNo,50,
1097,74,3253813,LED,mwa0000040386023,LED Control,50,
1098,74,1334856,API Meteored Duhau,Pampero4,,45,
1099,74,2870197,DC_Assignment,mwa0000030541121,,45,
1100,74,3253255,666666,mwa0000040384770,,45,
1101,74,1271411,Beelogger Universal ...,mwa0000020057299,,45,
1102,74,3262256,Estació Meteorològica,mwa0000040450226,,45,
1103,74,247718,ss,kusc00,,45,
1104,74,3261022,Tizuha1,mwa0000040443130,,45,
1105,74,2279554,Mala Seva ZRSKP,kptest,,45,
1106,74,3255644,ryantzk,mwa0000034848992,,45,
1107,74,3254753,inClass_4,mwa0000040397483,,45,
1108,74,1460876,MQTT,vosarno,,45,
1109,74,3231323,weather-station-data,mwa0000040171003,,45,
1110,74,3100641,Agri project,mwa0000028452264,,45,
1111,75,2513665,NODE2,mwa0000033742157,,30,
1112,75,1656904,ProudVsen,cen123,,30,
1113,75,1031621,Dew point measurement,mwa0000017411845,,30,
1114,75,2514418,Node 2,mwa0000033747159,,30,
1115,75,2436793,Model Node 1 data,mwa0000033010223,,30,
1116,75,2512203,Node 2,mwa0000033733819,,30,
1117,75,2436862,Node 1,mwa0000032986358,,30,
1118,75,2553443,Model Node 1 Data,mwa0000034002803,,30,
1119,75,1393084,Boiler and Buffer temp,phanna,,30,
1120,75,2607062,Node 1,mwa0000034501766,,30,
1121,75,2514121,Node 1,mwa0000033711591,,30,
1122,75,2434719,Temperature_Measurement,mwa0000032990953,,30,
1123,75,2711768,C_晶創台江漁人場域,mwa0000029068820,,30,
1124,75,1086579,Dew Point Measurement,chhavi321,,30,
1125,75,1444303,moxovich,mwa0000023104064,,30,
1126,76,2711768,C_晶創台江漁人場域,mwa0000029068820,,30,
1127,76,1086579,Dew Point Measurement,chhavi321,,30,
1128,76,1444303,moxovich,mwa0000023104064,,30,
1129,76,2608459,Node2,mwa0000034502569,,30,
1130,76,583385,Hämäläistentie ulkol...,toroti,,30,
1131,76,2437118,Node2,mwa0000033015384,,30,
1132,76,2436601,Node 1,mwa0000033026464,,30,
1133,76,2514974,Model Node 2,mwa0000024818572,,30,
1134,76,2608464,node 2,mwa0000034500499,,30,
1135,76,2609528,Node 1,mwa0000034517877,,30,
1136,76,1191412,Torppa Temp,mwa0000020003148,,30,
1137,76,3212174,test ws,vcherianTMW,,30,
1138,76,538670,columbus,free0u,,30,
1139,76,229632,Temperatura Grudziądz,lurym89,,30,
1140,76,958831,Mittaukset,mwa0000017265688,,30,
1141,77,229632,Temperatura Grudziądz,lurym89,,30,
1142,77,958831,Mittaukset,mwa0000017265688,,30,
1143,77,2159893,AirQo-G5186,airqodata02,,30,
1144,77,326743,chelyabinsk,free0u,,30,
1145,77,857666,Networks,stanislas10,,30,
1146,77,843367,Pi,stanislas10,,30,
1147,77,857289,UPS,stanislas10,,30,
1148,77,2555412,Model Node 2,mwa0000034055483,,30,
1149,77,2608822,Dew Point Measurement,mwa0000034512686,,30,
1150,77,2438583,Node 1.0,mwa0000032991167,,30,
1151,77,2513639,NODE 1,mwa0000033711980,,30,
1152,77,2513562,Node 2,mwa0000019139600,,30,
1153,77,2943039,Sala Fabricación Cir...,mwa0000037328640,,30,
1154,77,2436887,Node 1,mwa0000033009648,,30,
1155,77,2608167,Dew point,mwa0000034503395,,30,
1156,78,2943039,Sala Fabricación Cir...,mwa0000037328640,,30,
1157,78,2436887,Node 1,mwa0000033009648,,30,
1158,78,2608167,Dew point,mwa0000034503395,,30,
1159,78,2512149,Dew Point Measurement,mwa0000033742454,,30,
1160,78,1458394,大立光LP4平均風速(m/s),mwa0000022589108,,30,
1161,78,1347860,Asuinhuoneet,mwa0000018135078,,30,
1162,78,2608457,node 1,mwa0000034500499,,30,
1163,78,2607635,Node1,mwa0000034503404,,30,
1164,78,2337227,AIRQO_G5302,airqodata02,,30,
1165,78,79164,Boiler flow temp,nostrebor,,30,
1166,78,2511757,Node 1,mwa0000018087041,,30,
1167,78,3263640,IOT BASED POLLUTION ...,mwa0000040455946,,30,
1168,78,452935,opus,free0u,,30,
1169,78,843358,Pi,kalmar17a,,30,
1170,78,857281,UPS,kalmar17a,,30,
1171,79,843358,Pi,kalmar17a,,30,
1172,79,857281,UPS,kalmar17a,,30,
1173,79,2437179,Node2,mwa0000033027997,,30,
1174,79,2437247,Node 1 & Node 2,mwa0000033014473,,30,
1175,79,2436537,Dew Point,mwa0000033024913,,30,
1176,79,1365240,Dew point Measurement,mwa0000020239834,,30,
1177,79,2514686,Node 2,mwa0000033729857,,30,
1178,79,2436851,Weather,mwa0000033008240,,30,
1179,79,2512123,Node 1,mwa0000033706956,,30,
1180,79,2084603,AirQo-G5166,airqodata02,,30,
1181,79,2608585,Node 2,mwa0000034505113,,30,
1182,79,1125554,my first thigspeak c...,mwa0000019275521,,30,
1183,79,2451894,Battery Monitoring S...,mwa0000033026643,,30,
1184,79,2608142,Node 2,mwa0000034498127,,30,
1185,79,2437236,Node 2,mwa0000032991167,,30,
1186,80,2608142,Node 2,mwa0000034498127,,30,
1187,80,2437236,Node 2,mwa0000032991167,,30,
1188,80,3051766,Dew Point Measurement,mwa0000028266494,,30,
1189,80,2437203,Measurements,mwa0000027084425,,30,
1190,80,2609135,Node 1,mwa0000034500645,,30,
1191,80,2876828,Air Quality Monitor,mwa0000029759168,,30,
1192,80,1360568,demo_exp_5i,mwa0000020943897,,30,
1193,80,1790933,Data comm set2,mwa0000017641244,,30,
1194,80,2436833,Node 1,mwa0000032993880,,30,
1195,80,2437143,Weather,mwa0000033032022,,30,
1196,80,2020143,Temperature analysis,mwa0000028757033,,30,
1197,80,2608859,node 1,mwa0000034502893,,30,
1198,80,2198534,AIRQO-G5207,airqodata02,,30,
1199,80,2512871,Node 2,mwa0000033712756,,30,
1200,80,2608214,Node 1,mwa0000034509768,,30,
1201,81,2198534,AIRQO-G5207,airqodata02,,30,
1202,81,2512871,Node 2,mwa0000033712756,,30,
1203,81,2608214,Node 1,mwa0000034509768,,30,
1204,81,2513675,Model Node2 data,mwa0000033742777,,30,
1205,81,2550128,Node 1 data,mwa0000022676297,,30,
1206,81,2514950,Node2,mwa0000033725516,,30,
1207,81,3258185,Dew Point Measuremen...,mwa0000040213708,,30,
1208,81,2943900,Dew Point Measurement,mwa0000037705266,,30,
1209,81,2514443,Node 2,mwa0000033729745,,30,
1210,81,2943030,Practica 3,mwa0000037001680,,30,
1211,81,1037425,IoT_Ren,mwa0000018151872,,30,
1212,81,2514945,Node 1,mwa0000033725516,,30,
1213,81,1278515,Dew Point Measurement,ctapiamultion,,30,
1214,81,2436847,Node1,mwa0000029588437,,30,
1215,81,2427954,IOT,mwa0000026368607,,30,
1216,82,2518384,Humidex,mwa0000024028930,,30,
1217,82,1060527,Uusi,mwa0000018135078,,30,
1218,82,2513700,Model Node 2,mwa0000033742813,,30,
1219,82,2796734,Dew Point Measurement,mwa0000035902352,,30,
1220,82,684035,Mittarit,riihesam,,30,
1221,82,2437141,Node 1,mwa0000033008249,,30,
1222,82,2609619,NODE2,mwa0000034493231,,30,
1223,82,2436914,Node 1,mwa0000032995984,,30,
1224,82,2084560,AirQo-G5144,airqodata02,,30,
1225,82,2512229,Node 2,mwa0000033706956,,30,
1226,82,1343346,Dew Point Measurement,mwa0000022038995,,30,
1227,82,2514336,Node 2 Data,mwa0000033742454,,30,
1228,82,2436604,Model 1,mwa0000029629506,,30,
1229,82,1105741,Channel 1,swapnadeep2k,,30,
1230,82,2650074,AIRQO_G5367,airqodata02,,30,
1231,83,1343346,Dew Point Measurement,mwa0000022038995,,30,
1232,83,2514336,Node 2 Data,mwa0000033742454,,30,
1233,83,2436604,Model 1,mwa0000029629506,,30,
1234,83,1105741,Channel 1,swapnadeep2k,,30,
1235,83,2650074,AIRQO_G5367,airqodata02,,30,
1236,83,2438588,Node 1,mwa0000033027997,,30,
1237,83,2437124,Weather,mwa0000033027992,,30,
1238,83,2514281,Node1,mwa0000033752706,,30,
1239,83,2436819,Node 1,mwa0000027254039,,30,
1240,83,1339502,Dew Point Measurement,mwa0000021999302,,30,
1241,83,2436736,Model Node 1 Data,mwa0000033004792,,30,
1242,83,584375,Koti mittarit,klkklk,,30,
1243,83,2436597,Model node1 data,mwa0000033009154,,30,
1244,83,711343,Dew Point Measurement,maithili16,,30,
1245,83,3208627,Dew Pointmeasurement,mwa0000039960314,,30,
1246,84,584375,Koti mittarit,klkklk,,30,
1247,84,2436597,Model node1 data,mwa0000033009154,,30,
1248,84,711343,Dew Point Measurement,maithili16,,30,
1249,84,3208627,Dew Pointmeasurement,mwa0000039960314,,30,
1250,84,2436850,Model Node 1 Data,mwa0000032992342,,30,
1251,84,2608542,Node 1,mwa0000034505113,,30,
1252,84,660785,Dew Point Measurement,skondaga,,30,
1253,84,3165233,Data Comm. Assignment,mwa0000028771193,,30,
1254,84,2608603,node 2,mwa0000034501232,,30,
1255,84,2514335,Node 2,mwa0000033752706,,30,
1256,84,2437149,Node 2,mwa0000033032022,,30,
1257,84,2608479,node 1,mwa0000034500398,,30,
1258,84,1891239,Kivikko,mwa0000027910205,,30,
1259,84,2198533,AIRQO-G5206,airqodata02,,30,
1260,84,2608092,Node 1,mwa0000034498127,,30,
1261,85,2514335,Node 2,mwa0000033752706,,30,
1262,85,2437149,Node 2,mwa0000033032022,,30,
1263,85,2608479,node 1,mwa0000034500398,,30,
1264,85,1891239,Kivikko,mwa0000027910205,,30,
1265,85,2198533,AIRQO-G5206,airqodata02,,30,
1266,85,2608092,Node 1,mwa0000034498127,,30,
1267,85,1002528,Dew Point Measurement,mwa0000017078584,,30,
1268,85,2337196,AIRQO_G5294,airqodata02,,30,
1269,85,2510940,Dew Point Measurement,mwa0000026682311,,30,
1270,85,1003696,Average Humidity,byrnec747,,30,
1271,85,1003688,Weather over the pas...,byrnec747,,30,
1272,85,1802164,Temp DC,mwa0000022599434,,30,
1273,85,2436860,Node1,mwa0000033027145,,30,
1274,85,1380971,Dew Point Measurement,mwa0000022436833,,30,
1275,85,1005100,Temperature Measurem...,mwa0000017664566,,30,
1276,86,1005100,Temperature Measurem...,mwa0000017664566,,30,
1277,86,782201,Dew Point Measurement,woodyloks,,30,
1278,86,2608873,NODE 2,mwa0000034492500,,30,
1279,86,2609522,Node 2,mwa0000034500645,,30,
1280,86,2513585,Node 1,mwa0000033709418,,30,
1281,86,2815696,Laboratory,mwa0000036591229,,30,
1282,86,2437173,Model Node 2 data,mwa0000025711165,,30,
1283,86,1027894,Dew Point Measurement,dffaiskhanov,,30,
1284,86,2608487,node 2,mwa0000034500398,,30,
1285,86,1358224,Dew Point Measurement,mwa0000020239947,,30,
1286,86,2943040,Canal Circuitos Inte...,mwa0000029195420,,30,
1287,86,2608472,Modal Node 1,mwa0000020800823,,30,
1288,86,2335934,AIRQO_G5286,airqodata02,,30,
1289,86,2608521,node 1,mwa0000034511076,,30,
1290,86,2435654,Model node 1,mwa0000033015384,,30,
1291,87,2435654,Model node 1,mwa0000033015384,,30,
1292,87,2609532,Node 2,mwa0000034511292,,30,
1293,87,2555402,Model Node 1,mwa0000034055483,,30,
1294,87,2421772,Dew Point Measurement,mwa0000025347294,,30,
1295,87,1028355,Analysis/Scheduling ...,mwa0000017592117,,30,
1296,87,1968575,Dew Point Measurement,mwa0000018624209,,30,
1297,87,2513740,Node2,mwa0000033706992,,30,
1298,87,2436824,Weather Data,mwa0000032968955,,30,
1299,87,2950662,Alean 2.0,mwa0000037350281,,30,
1300,87,2554139,Model Node 1 data,mwa0000034047217,,30,
1301,87,2608874,Dew Point Measurement,mwa0000034511292,,30,
1302,87,2514424,Node 2,mwa0000033711591,,30,
1303,87,2554353,Model Node 1,mwa0000034048539,,30,
1304,87,2027043,Forecasting,mwa0000028757033,,30,
1305,87,1566168,Visu test mkr pile,Lycabbio,,30,
1306,88,1566168,Visu test mkr pile,Lycabbio,,30,
1307,88,1033264,Dew Point Measurement,mwa0000017656222,,30,
1308,88,2517467,Node 1,mwa0000033714334,,30,
1309,88,2743776,Final Exam Dew Point...,mwa0000035902352,,30,
1310,88,1682635,HW2,mwa0000019416460,,30,
1311,88,2608432,Node 1,mwa0000034500351,,30,
1312,88,2608858,Node 1,mwa0000034500650,,30,
1313,88,598264,Dew Point Measurement,sulaimisuib,,30,
1314,88,2513561,Node 1,mwa0000033733816,,30,
1315,88,2608780,Node2,mwa0000034492781,,30,
1316,88,1036436,Dew Point Measurement 2,mwa0000017654096,,30,
1317,88,2437110,Node1,mwa0000033008297,,30,
1318,88,2608511,Node 1,mwa0000034506740,,30,
1319,88,1105742,Measurement and plot...,priyankaa13,,30,
1320,88,2609579,Node2,mwa0000034493220,,30,
1321,89,2513561,Node 1,mwa0000033733816,,30,
1322,89,2608780,Node2,mwa0000034492781,,30,
1323,89,1036436,Dew Point Measurement 2,mwa0000017654096,,30,
1324,89,2437110,Node1,mwa0000033008297,,30,
1325,89,2608511,Node 1,mwa0000034506740,,30,
1326,89,1105742,Measurement and plot...,priyankaa13,,30,
1327,89,2609579,Node2,mwa0000034493220,,30,
1328,89,2608892,Dew Point,mwa0000033369476,,30,
1329,89,2925325,Dev point,vyacheslav78,,30,
1330,89,2513689,Model Node 1,mwa0000033742813,,30,
1331,89,2609525,Node2,mwa0000034512686,,30,
1332,89,3001010,airqo_g5573,airqodata02,,30,
1333,89,1767534,Dew Point Measurement,mwa0000024593140,,30,
1334,89,1383883,Dew point Measurement,mwa0000020239885,,30,
1335,89,1631190,Halmetie,mwa0000016893515,,30,
1336,90,1631190,Halmetie,mwa0000016893515,,30,
1337,90,2608452,node 2,mwa0000034504308,,30,
1338,90,2552414,Model Node 1 Data,mwa0000024953425,,30,
1339,90,1679130,Dew Point Measurement,mwa0000019607459,,30,
1340,90,2514083,Node2,mwa0000033710070,,30,
1341,90,3242307,Dew Point Measurement,mwa0000040289211,,30,
1342,90,2437182,Monitoring,mwa0000033032153,,30,
1343,90,2608075,node 1 channel,mwa0000034500132,,30,
1344,90,2337232,AIRQO_G5303,airqodata02,,30,
1345,90,1105738,Measurement and Plot...,pujithsai6699,,30,
1346,90,1683946,HW2,mwa0000021362371,,30,
1347,90,1889346,Dew Point Measurement,mwa0000027892173,,30,
1348,90,2852158,Estacion metereologi...,mwa0000036953675,,30,
1349,90,2608208,Node 1,mwa0000034498010,,30,
1350,90,2608485,Node 2,mwa0000034503395,,30,
1351,91,2852158,Estacion metereologi...,mwa0000036953675,,30,
1352,91,2608208,Node 1,mwa0000034498010,,30,
1353,91,2608485,Node 2,mwa0000034503395,,30,
1354,91,2608184,node 1,mwa0000034500338,,30,
1355,91,2266737,AIRQO_G5248,airqodata02,,30,
1356,91,2354645,Dew Point Measurement,mwa0000031509531,,30,
1357,91,1680636,Dew Point Calculation,mwa0000021362371,,30,
1358,91,2608188,Node 2,mwa0000034500338,,30,
1359,91,1358289,Dew Point Measurement,mwa0000020318219,,30,
1360,91,2435356,Model   Node 1 Data,mwa0000025711165,,30,
1361,91,2513720,Node 2,mwa0000033710944,,30,
1362,91,2437127,Modal Data 1,mwa0000033008991,,30,
1363,91,2436854,Node 1,mwa0000033008312,,30,
1364,91,2608124,Node 1,mwa0000034500090,,30,
1365,91,2037837,ProudCeskyDub,mwa0000028812017,,30,
1366,92,1648939,Exp 2,tejaswinidesai23,,30,
1367,92,2608591,node 1,mwa0000034501232,,30,
1368,92,1305835,Dew Point Measurement,mwa0000019985620,,30,
1369,92,2101095,Dew Point Measurement,mwa0000029817882,,30,
1370,92,2407585,Water station,mwa0000030003816,,30,
1371,92,1681555,Dew Point Measurement,mwa0000019335728,,30,
1372,92,2827209,Dew Point Measurement,mwa0000027141030,,30,
1373,92,2608871,NODE 1,mwa0000034492500,,30,
1374,92,2159884,AirQo-G5181,airqodata02,,30,
1375,92,1535528,TČ posledních 10h,mwa0000021525572,,30,
1376,92,2608862,node 2,mwa0000034502893,,30,
1377,92,2608175,Node 2,mwa0000034501766,,30,
1378,92,2513356,Node-1,mwa0000033748547,,30,
1379,92,2610839,Node 2,mwa0000034508982,,30,
1380,92,3189403,sensor 2,mwa0000035494460,,30,
1381,93,2610839,Node 2,mwa0000034508982,,30,
1382,93,3189403,sensor 2,mwa0000035494460,,30,
1383,93,2512734,Node2,mwa0000033710693,,30,
1384,93,876544,Dew Point Measurment,hugo1112,,30,
1385,93,1678645,Dew Point Measurement,mwa0000019416460,,30,
1386,93,2514346,Node1,mwa0000033729745,,30,
1387,93,1057098,Extras,mwa0000018135078,,30,
1388,93,3263597,HeartMonitor,mwa0000036137910,,30,
1389,93,2537061,EIAQI,mwa0000024028930,,30,
1390,93,2449123,Battery Monitoring,mwa0000032995984,,30,
1391,93,2473875,Dew Point Measurement,mwa0000023498998,,30,
1392,93,2068639,ZOOLOGY-observer,ZoologyLH,,30,
1393,93,2608445,node 1,mwa0000034504308,,30,
1394,93,2437682,Node 1,mwa0000033008229,,30,
1395,93,2552864,Dew Point Measurement,mwa0000034037743,,30,
1396,94,2512159,Assignment 1,mwa0000033707775,,30,
1397,94,2512172,Node1,mwa0000033733819,,30,
1398,94,2100592,Dew Point Measurement,mwa0000029814142,,30,
1399,94,2608166,Node 2,mwa0000034497506,,30,
1400,94,2608869,Node 2,mwa0000034500650,,30,
1401,94,2608153,Node 2,mwa0000034500090,,30,
1402,94,2966736,Dew Point Measurement,mwa0000023451993,,30,
1403,94,2436695,node1,mwa0000031689349,,30,
1404,94,2459546,Wondecla Power Gener...,mwa0000029721158,,30,
1405,94,1004028,Dew Point Measurement,mwa0000017657282,,30,
1406,94,1105757,measurement and plot...,mwa0000018991471,,30,
1407,94,2508877,Node1,mwa0000033714378,,30,
1408,94,2510949,Dew Point Measurement,mwa0000033709144,,30,
1409,94,1002535,Dew Point Measurement,mwa0000016880267,,30,
1410,94,2620114,C_旭海_長效溶氧_五合一水質系統,mwa0000029068820,,30,
1411,95,2620114,C_旭海_長效溶氧_五合一水質系統,mwa0000029068820,,30,
1412,95,2198553,AIRQO-G5225,airqodata02,,30,
1413,95,2689026,Dew Point Measurement,mwa0000035452369,,30,
1414,95,3218921,A_福壽_長效溶氧,mwa0000029068820,,30,
1415,95,1767522,Dew Point Measurement,mwa0000026766335,,30,
1416,95,3242265,Experiment - Miguel ...,mwa0000040289000,,30,
1417,95,1606119,AirQo_G549,airqodata02,,30,
1418,95,3085208,Dew Point Measurement.,mwa0000038864096,,30,
1419,95,2546775,Dew Point Measurement,mwa0000030873489,,30,
1420,95,2510749,Dew Point Measurement,mwa0000033710701,,30,
1421,95,893422,Shower Power User View,z5210031,,30,
1422,95,2647276,AIRQO_G5356,airqodata02,,30,
1423,95,2856421,A_漢神國際_彌陀場域2,mwa0000029068820,,30,
1424,95,2198529,AIRQO-G5202,airqodata02,,30,
1425,95,574070,Koti,pietola,,30,
1426,96,1263909,Mod10Percobaan1,mwa0000020660979,,30,
1427,96,2649967,AIRQO_G5359,airqodata02,,30,
1428,96,2511316,Dew Point Measurement,mwa0000033733819,,30,
1429,96,2869640,Wind Power project,mwa0000030699350,,30,
1430,96,2866793,airqo_g5432,airqodata02,,30,
1431,96,1028405,Dew Point Measurement,mwa0000016817193,,30,
1432,96,1265376,Dew Point Measurement,mwa0000020641933,,30,
1433,96,1340685,Dew Point Measurement,mwa0000020111959,,30,
1434,96,918401,OutDoorTemp,mwa0000016901516,,30,
1435,96,1925261,Lämpötila ja ilmanko...,mwa0000028244928,,30,
1436,96,2512724,Dew Point Measurement,mwa0000033742777,,30,
1437,96,1606121,AirQo_G551,airqodata02,,30,
1438,96,2475893,Dew Point Measurement,mwa0000033421250,,30,
1439,96,1359370,EngComp SOH,mwa0000020322060,,30,
1440,96,2335937,AIRQO_G5287,airqodata02,,30,
1441,97,2335937,AIRQO_G5287,airqodata02,,30,
1442,97,2337192,AIRQO_G5293,airqodata02,,30,
1443,97,2471431,南俊國際,mwa0000029068820,,30,
1444,97,2874826,airqo_g5454,airqodata02,,30,
1445,97,1032871,Dew Point Measurement,mwa0000018078760,,30,
1446,97,1003699,Dew Point Measurement,mwa0000017653737,,30,
1447,97,1962716,Airqo_G5131,airqodata02,,30,
1448,97,2904322,DevSample_Temperature,mwa0000037425850,,30,
1449,97,1679129,IoT_March_22,mwa0000019774411,,30,
1450,97,2650082,AIRQO_G5368,airqodata02,,30,
1451,97,2510786,Dew Point Measurement,mwa0000033711717,,30,
1452,97,2513667,NODE 2,mwa0000033711980,,30,
1453,97,2489040,Dew Point Measuremen...,mwa0000029721247,,30,
1454,97,2513699,Node 1,mwa0000033710944,,30,
1455,97,2679198,Dew point Measurement,mwa0000026629057,,30,
1456,98,2434376,Dew Point Measurement,mwa0000027508958,,30,
1457,98,2526570,AquaLink,mwa0000026566611,,30,
1458,98,2292847,AIRQO_G5278,airqodata02,,30,
1459,98,2796815,Dew Point Measurement,mwa0000036219916,,30,
1460,98,2266770,AIRQO_G5271,airqodata02,,30,
1461,98,2513725,NODE 2,mwa0000033712601,,30,
1462,98,1367563,Dew point measurement,mwa0000020239920,,30,
1463,98,2977826,A_鑫台_2號機_石斑池,mwa0000029068820,,30,
1464,98,2159885,AirQo-G5182,airqodata02,,30,
1465,98,3205470,Weather Analysis,mwa0000034369007,,30,
1466,98,2513482,Dew point measurement,mwa0000024818572,,30,
1467,98,2513694,Dew Point Measurement,mwa0000033753826,,30,
1468,98,2087718,AirQo-G5169,airqodata02,,30,
1469,98,2513731,Node1,mwa0000033731163,,30,
1470,98,1105744,Measurement and plot...,itsmesap,,30,
1471,99,2511611,Test,mwa0000033708635,,30,
1472,99,2872190,A_鑫台_1號機_A1-2,mwa0000029068820,,30,
1473,99,2513664,Node 2,mwa0000033707745,,30,
1474,99,3078841,Razak Dew Point Meas...,mwa0000038786666,,30,
1475,99,613853,Dew Point Measurement,studentnike,,30,
1476,99,1265953,Dew Point Measurement,mwa0000020686946,,30,
1477,99,2198548,AIRQO-G5220,airqodata02,,30,
1478,99,1680623,Dew Point Measurement,mwa0000019551333,,30,
1479,99,2232332,一德放流口,mwa0000029068820,,30,
1480,99,2510835,Dew Point Measurement,mwa0000033711543,,30,
1481,99,2848661,Dew Point Calculation,mwa0000027380210,,30,
1482,99,1681359,Dew Point Measurement,mwa0000024023314,,30,
1483,99,2851853,Air Quality in Germany,mwa0000025587245,,30,
1484,99,2032147,First try,mwa0000020195676,,30,
1485,99,2627608,Dew Point Measurement,mwa0000034675032,,30,
1486,100,1951174,Airqo_G5127,airqodata02,,30,
1487,100,1676687,AQI and Dew Point Te...,mwa0000022632550,,30,
1488,100,2327775,Dew Point Measurement,mwa0000028705456,,30,
1489,100,1036315,Dew Point Measurement,mwa0000017032531,,30,
1490,100,2339404,AIRQO_G5313,airqodata02,,30,
1491,100,1358190,Dew Point Measurement,mwa0000020239882,,30,
1492,100,1962719,Airqo_G5133,airqodata02,,30,
1493,100,1193715,Dew Point Measurement,mwa0000020022001,,30,
1494,100,2514453,node 1,mwa0000033729847,,30,
1495,100,1031648,Dew Point Measurement,mwa0000017592120,,30,
1496,100,2513468,Dew Point Measurement,mwa0000033710070,,30,
1497,100,2510721,Dew point measurement,mwa0000033712023,,30,
1498,100,2199621,AIRQO-G5244,airqodata02,,30,
1499,100,1976169,Dew Measurement,mwa0000018642776,,30,
1500,100,2874876,airqo_g5467,airqodata02,,30,
1501,101,2874876,airqo_g5467,airqodata02,,30,
1502,101,2900877,Dew Point Measurement,mwa0000037399740,,30,
1503,101,2514449,Node1,mwa0000033734120,,30,
1504,101,2879696,Eason_Chris_Adit_Pla...,mwa0000026657249,,30,
1505,101,2465060,Ev power measurement...,mwa0000021610133,,30,
1506,101,2514550,AquaLink,mwa0000033729801,,30,
1507,101,2373534,ESP32 HygroTemp SUMMARY,mwa0000032370391,,30,
1508,101,1873247,Airqo_G593,airqodata02,,30,
1509,101,2830685,AIRQO_G5421,airqodata02,,30,
1510,101,1606124,AirQo_G554,airqodata02,,30,
1511,101,2436959,Node 1,mwa0000033029171,,30,
1512,101,1002563,Dew Point Measurement,mwa0000017644889,,30,
1513,101,2335924,AIRQO_G5284,airqodata02,,30,
1514,101,1028335,Dew Point Measurement,mwa0000016917018,,30,
1515,101,1680527,Dew Point Measurements,mwa0000024461068,,30,
1516,102,2511744,Dew Point Temperature,mwa0000033708788,,30,
1517,102,1003692,Dew Point Measurement,mwa0000017090245,,30,
1518,102,2556159,model ode 1 data,mwa0000034048482,,30,
1519,102,2513691,node1,mwa0000033712442,,30,
1520,102,1002626,Dew Point Measurement,mwa0000017645756,,30,
1521,102,1684922,Dew Point Measurement,mwa0000021257049,,30,
1522,102,2514654,Node 1,mwa0000033732871,,30,
1523,102,1002619,Dew Point Measurement,mwa0000016976144,,30,
1524,102,2548376,Dew point Measurement 2,mwa0000034002155,,30,
1525,102,1681316,effects of Wind,mwa0000021939476,,30,
1526,102,1332897,Dew Point Measurement,mwa0000021911357,,30,
1527,102,2778056,Dht,mwa0000036209418,,30,
1528,102,2649980,AIRQO_G5361,airqodata02,,30,
1529,102,2539227,AIRQO_G5343,airqodata02,,30,
1530,102,2975880,LilyGO Test,davidfritsch,,30,
1531,103,2975880,LilyGO Test,davidfritsch,,30,
1532,103,1112704,Dew Point Measurement,mwa0000013947542,,30,
1533,103,2335922,AIRQO_G5283,airqodata02,,30,
1534,103,2513701,NODE 1,mwa0000033712601,,30,
1535,103,2514648,Node 2,mwa0000033711518,,30,
1536,103,1031174,Week 5 Redo,mwa0000017592123,,30,
1537,103,2510947,Dew Point Measurement,mwa0000033730586,,30,
1538,103,2087717,AirQo-G5168,airqodata02,,30,
1539,103,3051768,Dew Point Measurement,mwa0000038504679,,30,
1540,103,2101109,Dew Point Measurement,mwa0000029080777,,30,
